Graph;Projet Lienne-Raspille;Ann‚e sŠche 2100 - Gestion durable de l'eau;Jan;F‚v;Mars;Avril;Mai;Juin;Juillet;Ao–t;Sept;Oct;Nov;D‚c;Annuel;A visuali-ser;Couleurs;Remarques;;
;;;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;Mio.m3;;;;;
1;Afflux Lac Tseuzier;SŠche 2100;0,475;1,14;1,14;4,275;10,6;12,8;9;6;5,9;5,2;1,9;1,9;60,33;X;#26C4EC;;;
2;Afflux captages est;SŠche 2100;;;0,934;3,109;4,572;2,704;2,327;;;0,5;;;14,145;X;#0000FF;;;
;D‚bit total captages est;Moyenne 2100;0,458;0,305;0,335;2,682;1,861;2,546;1,543;-0,237;0,422;1,265;0,477;0,342;11,998;;;;;
3;LiŠne-ruisseau depuis Barrage (minimum);;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;0,383;4,591;X;#26C4EC;Toute l'ann‚e;;
4;TiŠche-ruisseaux est (minimum);;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;0,765;9,182;;;Toute l'ann‚e;;
;;;;;;;;;;;;;;;;;;;;
;BESOIN;;;;;;;;;;;;;;;;;;;
;Eau potable inclus industrie;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;SŠche 2100;0,969;0,886;0,96;0,907;0,927;1,109;1,17;1,169;1,114;0,93;1,089;1,155;12,386;;;;;
;;;;;;;;;;;;;;;;;;;;
;Eau potable inclus industrie couvert par Lac Tseuzier;;;;;;;;;;;;;;;;;;;Pourcentage aliment par Lac Tseuzier
;Besoin mensuel;SŠche 2100;0,291;0,266;;;;;;0,351;0,334;;;0,347;1,588;X;#0000FF;Avec 2 points de tirage dans le villages;;30%
;;;;;;;;;;;;;;;;;;;;
;Irrigation;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;SŠche 2100;0;0;0,199;0,984;0,823;1,809;3,353;3,54;2,749;1,193;0;0;14,648;;;;;
;;;;;;;;;;;;;;;;;;;;
;Irrigation couvert par Lac Tseuzier;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;SŠche 2100;;;;;;;;2,832;2,199;;;;5,031;X;#048B9A;L'eau est amen‚ par les bisses, ce transport manque dans le clip de Y. Rey;;
;;;;;;;;;;;;;;;;;;;;
;Enneigement couvert par Lac Moubra;;;;;;;;;;;;;;;;;Optionnel: v;;
;;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;SŠche 2100;;;;;;;;;;;0,44;0,46;0,9;X;#0000FF;"Entre deux captages on pourrait mettre un tube qui monte, avec une icone ""canon … neige"" au bout. Cet icone pourrait ˆtre comme celui de l'irrigation, mais avec des cristaux au lieu des points";;
;;;;;;;;;;;;;;;;;;;;
;Production Energie Barrage;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;SŠche 2100;7,8;7,7;4;0,2;1,3;4,7;7,5;7,3;6;8,3;9,7;9;73,5;X;#6600FF;"Tube tout droit vers St-L‚onard, Icone ""turbine"" au bout? Chiffes comme prod. Moyenne 2007-2011";;
;;;;;;;;;;;;;;;;;;;;
;TOTAL BESOIN DEPUIS LAC TSEUZIER;;;;;;;;;;;;;;;;;;;
;Besoin mensuel;SŠche 2100;8,473;8,348;4,383;0,583;1,683;5,083;7,883;10,865;8,916;8,683;10,523;10,189;85,61;;;;;
;;;;;;;;;;;;;;;;;;;;
;BILAN MENSUEL AFFLUX - BESOIN;;;;;;;;;;;;;;;;;;;
;;SŠche 2100;-7,998;-7,208;-2,309;6,801;13,489;10,421;3,444;-4,865;-3,016;-2,982;-8,623;-8,289;;;;;;
;;;;;;;;;;;;;;;;;;;;
;NIVEAU LAC, LE MAXIMUM EST 45 MIO. M3, RESERVE DE 5 MIO M3 POUR HAUTES EAUX;;;;;;;;;;;;;;;;;;;
;;SŠche 2100;14,092;6,883;4,575;11,376;24,865;35,287;38,731;45;41,984;39,002;30,379;22,09;;X;#26C4EC;;;
;;;;;;;;;;;;;;;;;;;;
;NIVEAU-VOLUME GLACIER;SŠche 2100;0;0;0;0;0;0;0;0;0;0;0;0;;X;#DFF2FF;;;
